Mon Dec  9 14:19:29 2024    test.prof

         22168758 function calls (21994485 primitive calls) in 205.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.960    0.960 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\_composable\fully_shard.py:1(<module>)
        1    0.001    0.001    0.959    0.959 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\pyplot.py:1(<module>)
        2    0.000    0.000    0.957    0.478 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\pyplot.py:524(_warn_if_gui_out_of_main_thread)
        5    0.000    0.000    0.957    0.191 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\pyplot.py:348(_get_backend_mod)
      6/1    0.000    0.000    0.957    0.957 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\pyplot.py:362(switch_backend)
    11058    0.010    0.000    0.953    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        5    0.000    0.000    0.953    0.191 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backends\registry.py:308(load_backend_module)
      123    0.001    0.000    0.937    0.008 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\library.py:161(_register_fake)
        1    0.000    0.000    0.924    0.924 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\artifacts\artifact.py:1(<module>)
        7    0.000    0.000    0.910    0.130 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_inductor\inductor_prims.py:14(make_prim)
        1    0.000    0.000    0.905    0.905 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\fsdp\__init__.py:1(<module>)
  2457923    0.900    0.000    0.900    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.890    0.890 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.889    0.889 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\config_util.py:1(<module>)
        1    0.000    0.000    0.886    0.886 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backends\_backend_tk.py:1(<module>)
   339499    0.874    0.000    0.874    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\traceback.py:327(walk_stack)
      9/4    0.007    0.001    0.867    0.217 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:1018(_bootstrap)
      9/4    0.000    0.000    0.863    0.216 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:1058(_bootstrap_inner)
     10/4    0.000    0.000    0.862    0.215 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:1001(run)
        1    0.000    0.000    0.848    0.848 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\fsdp\_flat_param.py:1(<module>)
      123    0.001    0.000    0.847    0.007 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_library\fake_impl.py:19(register)
        1    0.000    0.000    0.843    0.843 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\fsdp\_fsdp_extensions.py:1(<module>)
        1    0.000    0.000    0.838    0.838 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\util.py:1(<module>)
        1    0.000    0.000    0.836    0.836 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\fsdp\_shard_utils.py:1(<module>)
        1    0.000    0.000    0.836    0.836 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\tensor\__init__.py:1(<module>)
3030/3027    1.083    0.000    0.835    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.834    0.834 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\tensor\_ops\__init__.py:1(<module>)
        1    0.000    0.000    0.834    0.834 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\apis\__init__.py:1(<module>)
        1    0.000    0.000    0.802    0.802 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\requests\__init__.py:1(<module>)
      123    0.001    0.000    0.788    0.006 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_library\utils.py:33(get_source)
      123    0.003    0.000    0.787    0.006 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\inspect.py:1688(getframeinfo)
  1711894    0.787    0.000    0.787    0.000 {method 'strip' of 'str' objects}
       12    0.001    0.000    0.781    0.065 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_jit_internal.py:1025(_overload)
